Voxel Number,ESCV_corr,CV_corr,AIC_corr,AICC_corr,BIC_corr,,,,,,,
1,0.441158684,0.441222786,0.272775938,0.27367808,0.33628055,,,,,,,
2,0.470261225,0.46883508,0.413213829,0.469167911,0.447422215,,,,,,,
3,0.434376367,0.444123276,0.274502927,0.445204733,0.413325198,,,,,,,
4,0.443399979,0.443129814,0.304273201,0.443825589,0.36298692,,,,,,,
5,0.484571014,0.483844073,0.285127285,0.479476496,0.477014497,,,,,,,
6,0.446772809,0.447983154,0.351722576,0.446755403,0.442951728,,,,,,,
7,0.509242851,0.512003036,0.399465498,0.512003036,0.480076036,,,,,,,
8,0.469876365,0.470584994,0.307456784,0.472605116,0.465710846,,,,,,,
9,0.521118424,0.52498164,0.390678418,0.52498164,0.516434986,,,,,,,
10,0.229790797,0.222195804,0.121797033,0.121116772,0.128249785,,,,,,,
11,0.205237088,0.234882986,0.063065814,0.067187195,0.200963927,,,,,,,
12,0.411747678,0.400187297,0.252760255,0.402159222,0.408154716,,,,,,,
13,0.187480892,0.177078327,0.028255033,0.023048505,0.186803603,,,,,,,
14,0.23841388,0.23841388,0.135966191,0.136091037,0,,,,,,,
15,0.456068115,0.448072018,0.286515846,0.45706764,0.422439397,,,,,,,
16,0,0.044304547,0.070487997,0.079968325,0,,,,,,,
17,0.323695815,0.32448094,0.100332635,0.10051577,0.313506645,,,,,,,
18,0.455087958,0.460304973,0.373628026,0.460879986,0.455555541,,,,,,,
19,0.350823021,0.351446923,0.109197085,0.111510052,0.312325258,,,,,,,
20,0,0,0.021997924,0.019935251,0,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Voxel Number,ESCV_corr,CV_corr,AIC_corr,AICC_corr,BIC_corr,,,,,,,
1,0.441158684,0.441222786,0.272775938,0.27367808,0.33628055,,Voxel #,Correlation Score,,,,
2,0.470261225,0.46883508,0.413213829,0.469167911,0.447422215,,,ESCV,CV,AIC,AICc,BIC
3,0.434376367,0.444123276,0.274502927,0.445204733,0.413325198,,1,0.441,0.441,0.273,0.274,0.336
4,0.443399979,0.443129814,0.304273201,0.443825589,0.36298692,,2,0.47,0.469,0.413,0.469,0.447
5,0.484571014,0.483844073,0.285127285,0.479476496,0.477014497,,3,0.434,0.444,0.275,0.445,0.413
6,0.446772809,0.447983154,0.351722576,0.446755403,0.442951728,,4,0.443,0.443,0.304,0.444,0.363
7,0.509242851,0.512003036,0.399465498,0.512003036,0.480076036,,5,0.485,0.484,0.285,0.479,0.477
8,0.469876365,0.470584994,0.307456784,0.472605116,0.465710846,,6,0.447,0.448,0.352,0.447,0.443
9,0.521118424,0.52498164,0.390678418,0.52498164,0.516434986,,7,0.509,0.512,0.399,0.512,0.48
10,0.229790797,0.222195804,0.121797033,0.121116772,0.128249785,,8,0.47,0.471,0.307,0.473,0.466
11,0.205237088,0.234882986,0.063065814,0.067187195,0.200963927,,9,0.521,0.525,0.391,0.525,0.516
12,0.411747678,0.400187297,0.252760255,0.402159222,0.408154716,,10,0.23,0.222,0.122,0.121,0.128
13,0.187480892,0.177078327,0.028255033,0.023048505,0.186803603,,11,0.205,0.235,0.063,0.067,0.201
14,0.23841388,0.23841388,0.135966191,0.136091037,NA,,12,0.412,0.4,0.253,0.402,0.408
15,0.456068115,0.448072018,0.286515846,0.45706764,0.422439397,,13,0.187,0.177,0.028,0.023,0.187
16,NA,0.044304547,0.070487997,0.079968325,NA,,14,0.238,0.238,0.136,0.136,0
17,0.323695815,0.32448094,0.100332635,0.10051577,0.313506645,,15,0.456,0.448,0.287,0.457,0.422
18,0.455087958,0.460304973,0.373628026,0.460879986,0.455555541,,16,0,0.044,0.07,0.08,0
19,0.350823021,0.351446923,0.109197085,0.111510052,0.312325258,,17,0.324,0.324,0.1,0.101,0.314
20,NA,NA,0.021997924,0.019935251,NA,,18,0.455,0.46,0.374,0.461,0.456
,,,,,,,19,0.351,0.351,0.109,0.112,0.312
,,,,,,,20,0,0,0.022,0.02,0